,name,url,language,license,stars,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score,convention,ratio
1700,axe-core,https://github.com/dequelabs/axe-core,JavaScript,Mozilla Public License 2.0,3475,82,0,146,6,9.3,14,290,201,1.3,497,0.65232,angular,0.81
1721,ReactiveUI,https://github.com/reactiveui/ReactiveUI,C#,MIT License,6005,129,0,178,6,4.1,22,686,677,0.2,566,0.65169,angular,0.66
1753,gridsome,https://github.com/gridsome/gridsome,JavaScript,MIT License,7151,30,0,115,7,3.1,100,147,62,1.7,3201,0.6504300000000001,angular,1.0
1762,graphql,https://github.com/nestjs/graphql,TypeScript,MIT License,647,38,0,54,9,12.7,68,204,181,0.9,1676,0.6500100000000001,angular,0.83
1764,RSSHub,https://github.com/DIYgod/RSSHub,JavaScript,MIT License,14896,34,0,564,4,38.6,0,942,837,1.4,610,0.64985,angular,0.59
1807,uni-app,https://github.com/dcloudio/uni-app,JavaScript,Apache License 2.0,28430,30,0,115,3,71.1,180,317,97,1.3,1142,0.64831,angular,0.5
1817,amplify-cli,https://github.com/aws-amplify/amplify-cli,TypeScript,Apache License 2.0,1914,33,0,177,4,16.8,15,1369,839,2.4,173,0.64795,angular,0.94
1858,instantsearch.js,https://github.com/algolia/instantsearch.js,TypeScript,MIT License,2579,67,0,90,8,3.3,23,117,81,1.6,1079,0.64665,angular,0.97
1886,nodemon,https://github.com/remy/nodemon,JavaScript,MIT License,21759,125,1,149,8,0.3,4,80,59,2.5,5320,0.64568,angular,0.94
1890,commitlint,https://github.com/conventional-changelog/commitlint,TypeScript,MIT License,7109,60,0,111,10,7.7,1,266,234,0.5,5332,0.64542,angular,0.9
1892,vimtex,https://github.com/lervag/vimtex,TeX,MIT License,2987,88,0,126,5,12.6,9,114,99,6.2,84,0.6453800000000001,angular,0.5
1911,spinnaker,https://github.com/spinnaker/spinnaker,Shell,Apache License 2.0,7560,79,0,122,5,1.2,20,480,207,1.8,1083,0.64462,angular,0.85
