,name,precision,recall,fscore,chore_total,docs_total,feat_total,fix_total,refactor_total,test_total,chore_train,docs_train,feat_train,fix_train,refactor_train,test_train,chore_test,docs_test,feat_test,fix_test,refactor_test,test_test
0,sequelize,0.6839478976164417,0.6831955922865014,0.663205829731359,156,335,184,603,114,59,150,224,150,459,70,35,6,111,34,144,44,24
1,ionic-framework,0.7812829628730178,0.7840616966580977,0.7762362515027056,1759,1300,716,2820,665,520,1421,1060,540,1820,600,394,338,240,176,1000,65,126
2,element3,0.5825898385065688,0.5666666666666667,0.5524453163775751,387,195,57,337,244,98,265,192,48,265,144,74,122,3,9,72,100,24
3,vite,0.6664775635063521,0.6666666666666666,0.657429713109001,381,184,300,757,152,63,301,109,250,539,127,52,80,75,50,218,25,11
4,vee-validate,0.7724090935194164,0.7660098522167488,0.7620936928640454,449,446,273,263,123,71,290,345,211,207,104,62,159,101,62,56,19,9
5,stencil,0.6080053273025174,0.6136567834681043,0.5810108629108317,1165,123,590,1771,322,481,849,89,406,1312,285,398,316,34,184,459,37,83
6,pgjdbc,0.6286329618263071,0.6754966887417219,0.6370515050711589,108,73,53,224,60,85,71,61,40,159,55,66,37,12,13,65,5,19
7,ant-design,0.7873601189487692,0.7906602254428341,0.7829622503148739,635,1603,591,1653,238,246,458,1186,459,1272,178,171,177,417,132,381,60,75
8,rest.js,0.6918692733889652,0.6166666666666667,0.648116108386359,100,238,121,206,76,219,99,146,84,154,61,176,1,92,37,52,15,43
9,gatsby,0.6871224156623107,0.6684235745088644,0.6678715071912661,3898,869,1090,2307,104,80,2923,756,861,1592,69,60,975,113,229,715,35,20
10,instantsearch.js,0.5932599451924705,0.6241610738255033,0.6014273028775412,804,380,433,606,65,95,637,349,276,419,35,71,167,31,157,187,30,24
11,commitlint,0.6279064939832487,0.6308411214953271,0.5708743340781874,304,183,81,180,54,53,241,139,66,143,30,22,63,44,15,37,24,31
12,aks-engine,0.7632747701783986,0.7454212454212454,0.7473541786655338,604,185,456,542,84,315,417,144,338,440,73,228,187,41,118,102,11,87
