,name,precision,recall,fscore,chore_total,docs_total,feat_total,fix_total,refactor_total,test_total,chore_train,docs_train,feat_train,fix_train,refactor_train,test_train,chore_test,docs_test,feat_test,fix_test,refactor_test,test_test
13,angular,0.7300996230580591,0.7041068777832756,0.6861154372983456,1098,3766,2394,5065,2698,1146,1097,2534,2010,3849,1844,791,1,1232,384,1216,854,355
14,angular.js,0.7863520579367709,0.7721729490022173,0.7467370321504738,1238,2938,587,1779,385,288,886,2219,456,1396,259,195,352,719,131,383,126,93
15,vue-test-utils,0.7416280346624103,0.6884615384615385,0.6885253588412943,117,418,121,238,78,70,56,320,93,183,69,61,61,98,28,55,9,9
16,material-components-web,0.4728349076517302,0.5266343825665859,0.47804752607534007,692,649,690,912,212,150,582,560,444,683,88,122,110,89,246,229,124,28
17,zeebe,0.7356314104571747,0.7784730913642053,0.7108322426751221,4241,236,714,745,85,371,3003,186,660,573,40,332,1238,50,54,172,45,39
18,RSSHub,0.8271278252254416,0.8236914600550964,0.8213570922912544,94,376,1398,907,50,79,71,338,1004,642,46,77,23,38,394,265,4,2
19,loopback-next,0.846132881621394,0.8382352941176471,0.8334896182757181,2540,513,831,764,144,104,1694,432,693,635,134,84,846,81,138,129,10,20
20,renovate,0.6383258686623496,0.6217466743782534,0.5867264757013617,1034,444,1215,2982,1113,128,865,267,861,2328,788,78,169,177,354,654,325,50
21,angular-cli,0.7074288334103018,0.6483771251931993,0.6404438974723168,359,498,906,2133,773,508,359,409,772,1605,416,322,0,89,134,528,357,186
22,deno,0.6793327435779716,0.6522633744855967,0.6307712172390808,187,218,412,722,324,82,97,166,330,538,259,69,90,52,82,184,65,13
23,ng-bootstrap,0.6304345753980114,0.47619047619047616,0.44624239027936724,439,176,309,410,143,119,373,109,245,298,117,55,66,67,64,112,26,64
24,serverless,0.747997984142364,0.7494780793319415,0.7473684128001192,331,249,252,428,433,224,262,216,189,303,283,185,69,33,63,125,150,39
25,vuetify,0.7797562689061208,0.7744405182567726,0.7711866195136364,837,2556,523,2177,501,199,612,1500,452,1886,457,188,225,1056,71,291,44,11
26,camunda-bpm-platform,0.6939503439335607,0.671916890080429,0.67539766465015,5180,58,2201,3471,294,734,3454,52,1700,2863,285,600,1726,6,501,608,9,134
27,node-mongodb-native,0.6710515724734747,0.6401273885350318,0.630912178570997,306,191,223,521,585,686,201,153,181,345,455,549,105,38,42,176,130,137
28,components,0.7649754049556339,0.6996314496314496,0.6738357305319521,1125,761,943,3001,537,146,1048,525,692,2226,316,78,77,236,251,775,221,68
29,js-ipfs,0.7436052737600547,0.6863905325443787,0.6952801933936243,2192,403,461,702,107,192,1594,288,374,549,70,168,598,115,87,153,37,24
30,goreleaser,0.7469369355187302,0.7237569060773481,0.7177936468259114,194,318,275,473,76,111,137,214,196,368,67,103,57,104,79,105,9,8
31,pnpm,0.721776489750567,0.6509500351864884,0.6657990772670654,2099,249,747,1691,545,353,1632,181,613,1198,421,218,467,68,134,493,124,135
32,vue-cli,0.7294571640391616,0.7318181818181818,0.7184725506417756,553,381,478,950,135,143,400,257,393,716,104,110,153,124,85,234,31,33
33,axe-core,0.7225781754222134,0.698170731707317,0.683721769450244,318,119,225,527,59,66,250,87,158,398,28,65,68,32,67,129,31,1
34,verdaccio,0.6634512695203829,0.5683453237410072,0.5455757724212694,690,131,132,318,312,84,445,122,74,246,284,79,245,9,58,72,28,5
35,webiny-js,0.7062850070846024,0.7078708375378405,0.6871869559606372,1520,60,1460,3906,510,471,1152,58,1062,2883,424,366,368,2,398,1023,86,105
36,vant,0.8313478714067987,0.8087431693989071,0.8114366078800157,905,839,904,763,105,145,641,577,768,618,103,39,264,262,136,145,2,106
37,chakra-ui,0.5685052820453964,0.5005025125628141,0.4578766028289854,1745,742,344,764,253,132,1419,499,209,534,214,110,326,243,135,230,39,22
38,G2,0.644669497457622,0.598825831702544,0.5551376480359419,461,94,494,743,143,110,348,21,386,573,114,92,113,73,108,170,29,18
39,rxjs,0.6399727744893529,0.6370370370370371,0.6272343065900063,852,667,405,671,675,509,610,502,352,506,405,459,242,165,53,165,270,50
40,super-productivity,0.6438313644607376,0.6843191196698762,0.6512952757502377,391,99,3393,1206,626,101,321,44,2641,893,454,9,70,55,752,313,172,92
41,electron-builder,0.6644273880372894,0.6508264462809917,0.6272573920432579,151,173,567,872,98,74,67,146,456,626,96,60,84,27,111,246,2,14
42,serenity-js,0.6133007300814045,0.6115107913669064,0.572719207581835,306,217,175,274,56,83,234,165,147,200,46,41,72,52,28,74,10,42
43,reaction,0.5873780691747258,0.5702364394993046,0.5720468906522005,811,180,1299,1399,1590,473,564,152,1031,1190,1129,248,247,28,268,209,461,225
44,stryker,0.5387040378801586,0.5354609929078015,0.5008837565754919,228,102,330,261,91,116,182,70,246,199,69,80,46,32,84,62,22,36
45,lerna,0.6891941353172063,0.6657458563535912,0.6479356681140197,441,86,265,356,177,125,343,61,166,299,132,87,98,25,99,57,45,38
46,influxdb,0.6146485060541814,0.5949464012251149,0.5710190732874172,1028,81,1543,2028,361,184,695,65,1162,1573,291,133,333,16,381,455,70,51
47,superset,0.7210690483554201,0.6825095057034221,0.6689604097952481,358,141,482,881,134,106,260,129,353,678,106,50,98,12,129,203,28,56
48,Semantic-UI-React,0.7337540791192476,0.713963963963964,0.713666913046398,313,550,252,529,66,68,214,396,208,390,63,63,99,154,44,139,3,5
49,karma,0.6577174220203819,0.5575916230366492,0.5465593304065518,554,177,207,381,128,81,451,154,173,243,47,78,103,23,34,138,81,3
50,fxa,0.6292790696063685,0.6443228454172366,0.6046179034032348,1633,51,1968,4358,710,51,1213,27,1422,3339,559,18,420,24,546,1019,151,33
51,jina,0.6656443167045105,0.6493975903614457,0.6499462143626382,461,465,649,971,474,298,285,337,529,764,359,214,176,128,120,207,115,84
52,material,0.6728627020629147,0.6807738814993954,0.643426530695434,318,489,389,1892,149,71,227,322,305,1438,125,64,91,167,84,454,24,7
53,taro,0.6472996205478411,0.6066481994459834,0.6079701564432619,997,479,1253,2611,308,129,669,445,1049,1857,205,108,328,34,204,754,103,21
